MONTH, DAY, meanTemp
2,21,71.5
2,22,71
2,23,64
2,24,63.5
2,25,69.5
2,26,70
2,27,70
2,28,72
2,29,74
2,30,75.5
2,11,73.5
2,12,63
2,13,60
2,14,63
2,15,69.5
2,16,73.5
2,17,72.5
2,18,63
2,19,68
2,20,67.5
7,1,86.5
7,2,87
7,3,86
7,4,88
7,5,88.5
7,6,87.5
7,7,87
7,8,84
7,9,88
7,10,84.5
7,11,82.5
7,12,86.5
7,13,86.5
7,14,86.5
7,15,88
7,16,87
7,17,87.5
7,18,86.5
7,19,86
7,20,86.5
7,1,88.5
7,2,88.5
7,3,86.5
7,4,83
7,5,85.5
7,6,87
7,7,86
7,8,86
7,9,87
7,10,88.5
7,11,84
