MONTH, DAY, meanTemp
1,1,71
1,2,75
1,3,74.5
1,4,74
1,5,69.5
1,6,62
1,7,61.5
1,8,64.5
1,9,66
1,10,62.5
1,11,60.5
1,12,63.5
1,13,59
1,14,50
1,15,49
1,16,52.5
1,17,58.5
1,18,67
1,19,68
1,20,71.5
1,21,65.5
1,22,70.5
1,23,61.5
1,24,63.5
1,25,72.5
1,26,57.5
1,27,57
1,28,58.5
1,29,72
1,30,73
1,31,72.5
2,1,71.5
2,2,71
2,3,64
2,4,63.5
2,5,69.5
2,6,70
2,7,70
2,8,72
2,9,74
2,10,75.5
2,11,73.5
2,12,63
2,13,60
2,14,63
2,15,69.5
2,16,73.5
2,17,72.5
2,18,63
2,19,68
2,20,67.5
2,21,73.5
2,22,75
2,23,77.5
2,24,75
2,25,74
2,26,71.5
2,27,70.5
2,28,76
3,1,75.5
3,2,75
3,3,76.5
3,4,78.5
3,5,79
3,6,75
3,7,76
3,8,78
3,9,72
3,10,73.5
3,11,74
3,12,71
3,13,74.5
3,14,67
3,15,59.5
3,16,64.5
3,17,71
3,18,68
3,19,59.5
3,20,57
3,21,61
3,22,71
3,23,74
3,24,74
3,25,76.5
3,26,79
3,27,78
3,28,76.5
3,29,76.5
3,30,74
3,31,76
4,1,77
4,2,78
4,3,78
4,4,78
4,5,82.5
4,6,82.5
4,7,79.5
4,8,79.5
4,9,72
4,10,75
4,11,73
4,12,71.5
4,13,77.5
4,14,78.5
4,15,80.5
4,16,78.5
4,17,73
4,18,71
4,19,74.5
4,20,76
4,21,76.5
4,22,78
4,23,79
4,24,76.5
4,25,77
4,26,78
4,27,78
4,28,78.5
4,29,76
4,30,75
5,1,74.5
5,2,76.5
5,3,77
5,4,74.5
5,5,75.5
5,6,81
5,7,78.5
5,8,77
5,9,79.5
5,10,81
5,11,84
5,12,83.5
5,13,81
5,14,81
5,15,82
5,16,81.5
5,17,82
5,18,82
5,19,82
5,20,84
5,21,83
5,22,83.5
5,23,81.5
5,24,79.5
5,25,78
5,26,78
5,27,74.5
5,28,77
5,29,76.5
5,30,78
5,31,80.5
6,1,80.5
6,2,79.5
6,3,79.5
6,4,79.5
6,5,80
6,6,82
6,7,81.5
6,8,82
6,9,83
6,10,83
6,11,83.5
6,12,85
6,13,85.5
6,14,86
6,15,83.5
6,16,83.5
6,17,82
6,18,81.5
6,19,84.5
6,20,85.5
6,21,78.5
6,22,82
6,23,83.5
6,24,85
6,25,85.5
6,26,84
6,27,85.5
6,28,87.5
6,29,88
6,30,86.5
7,1,86.5
7,2,87
7,3,86
7,4,88
7,5,88.5
7,6,87.5
7,7,87
7,8,84
7,9,88
7,10,84.5
7,11,82.5
7,12,86.5
7,13,86.5
7,14,86.5
7,15,88
7,16,87
7,17,87.5
7,18,86.5
7,19,86
7,20,86.5
7,21,88.5
7,22,88.5
7,23,86.5
7,24,83
7,25,85.5
7,26,87
7,27,86
7,28,86
7,29,87
7,30,88.5
7,31,84
8,1,84.5
8,2,87
8,3,85
8,4,86.5
8,5,88.5
8,6,87.5
8,7,88.5
8,8,89.5
8,9,89.5
8,10,89.5
8,11,89.5
8,12,89.5
8,13,89.5
8,14,86.5
8,15,87.5
8,16,85.5
8,17,83.5
8,18,85.5
8,19,88
8,20,85.5
8,21,88
8,22,87
8,23,87
8,24,87.5
8,25,86
8,26,86.5
8,27,86.5
8,28,85.5
8,29,84
8,30,83.5
8,31,85.5
9,1,86.5
9,2,85.5
9,3,83.5
9,4,83
9,5,84.5
9,6,85
9,7,85
9,8,80
9,9,81
9,10,84.5
9,11,85.5
9,12,84.5
9,13,87
9,14,86
9,15,83.5
9,16,85
9,17,85.5
9,18,86.5
9,19,84.5
9,20,83
9,21,82.5
9,22,81.5
9,23,80
9,24,82.5
9,25,83.5
9,26,83.5
9,27,82
9,28,83
9,29,81.5
9,30,84
10,1,82.5
10,2,81.5
10,3,81
10,4,83
10,5,83.5
10,6,82
10,7,81.5
10,8,71.5
10,9,74.5
10,10,76.5
10,11,82.5
10,12,83.5
10,13,83.5
10,14,79.5
10,15,75.5
10,16,66.5
10,17,66
10,18,68
10,19,74
10,20,72.5
10,21,76.5
10,22,73
10,23,78.5
10,24,77
10,25,76
10,26,79.5
10,27,79
10,28,79.5
10,29,78.5
10,30,78.5
10,31,79
11,1,67.5
11,2,67
11,3,71.5
11,4,73.5
11,5,71
11,6,70
11,7,72
11,8,73
11,9,77
11,10,80
11,11,80.5
11,12,79.5
11,13,73.5
11,14,73
11,15,74
11,16,72
11,17,73.5
11,18,73
11,19,71
11,20,73
11,21,77.5
11,22,72
11,23,63
11,24,59.5
11,25,68.5
11,26,72
11,27,63.5
11,28,53
11,29,55.5
11,30,63
12,1,71.5
12,2,76.5
12,3,75.5
12,4,72.5
12,5,66.5
12,6,59
12,7,58.5
12,8,66.5
12,9,72.5
12,10,71
12,11,57.5
12,12,59
12,13,65.5
12,14,67.5
12,15,68.5
12,16,66.5
12,17,67
12,18,59.5
12,19,56
12,20,57.5
12,21,64.5
12,22,64.5
12,23,68
12,24,65.5
12,25,70.5
12,26,68.5
12,27,65
12,28,61
12,29,56.5
12,30,56
12,31,58
